Station Name,total_sessions,avg energy,total_energy,avg_charging_time,avg_total_duration,active_days,sessions_per_day,weekend_ratio,peak_hour_ratio,cluster
PALO ALTO CA / BRYANT # 1,13447,7.611354028705287,102349.877624,2.0712555669444446,2.6029753847222223,2953,4.55367422959702,0.21789246672120174,0.7599464564586896,0
PALO ALTO CA / BRYANT #2,14381,7.4557036394548355,107220.474039,2.0017340780555557,2.547957374166667,3032,4.7430738786279685,0.2252277310340032,0.7475836172727904,0
PALO ALTO CA / BRYANT #3,4472,8.632309227638642,38603.686866000004,2.0023833480555555,2.4696064399999997,1406,3.1806543385490755,0.22517889087656529,0.7942754919499105,2
PALO ALTO CA / BRYANT #4,3597,10.339060328051154,37189.6,2.142539075555556,2.421510981111111,1057,3.403027436140019,0.1940505977203225,0.867945510147345,3
PALO ALTO CA / BRYANT #5,5329,9.138810095702757,48700.719,1.955916838611111,2.2322764327777778,1136,4.691021126760563,0.2293113154437981,0.8600112591480578,2
PALO ALTO CA / BRYANT #6,5857,9.042088611917364,52959.513,2.0323148463888887,2.357003775,1187,4.934288121314237,0.2212736896021854,0.8154345227932389,2
PALO ALTO CA / CAMBRIDGE #1,11162,7.212397520963984,80504.781129,1.8782599194444445,2.279229702777778,1766,6.320498301245753,0.2588245834079914,0.7453861315176492,2
PALO ALTO CA / CAMBRIDGE #2,9256,6.979861198141745,64605.59525,1.9338978919444445,2.3491173891666666,1672,5.535885167464115,0.20808124459809854,0.7544295592048401,2
PALO ALTO CA / CAMBRIDGE #3,4476,6.953960232350313,31125.926,1.5873059402777776,1.8072698216666665,925,4.838918918918919,0.2658623771224307,0.8172475424486149,2
PALO ALTO CA / CAMBRIDGE #4,3428,7.261479288214702,24892.351,1.5402819102777776,1.7946479158333333,873,3.926689576174112,0.25933488914819136,0.896441073512252,2
PALO ALTO CA / CAMBRIDGE #5,4556,7.391510316066725,33675.721,1.6563781580555554,1.9698579405555556,946,4.8160676532769555,0.28753292361720806,0.8722563652326603,2
PALO ALTO CA / HAMILTON #1,14886,7.637761157329034,113695.712588,2.042613809166667,2.524283013611111,3213,4.633053221288516,0.23894934838102916,0.7329033991670025,0
PALO ALTO CA / HAMILTON #2,23715,8.078969410499683,191592.75957,2.0330794855555556,2.5171347716666665,3354,7.0706618962432914,0.25173940543959517,0.7168037107316044,0
PALO ALTO CA / HIGH #1,10755,9.147141122175732,98377.502769,1.927556097777778,2.3819183583333334,1806,5.95514950166113,0.2414690841469084,0.79674569967457,2
PALO ALTO CA / HIGH #2,6928,8.994006495381063,62310.477,1.9305200713888888,2.3062702877777777,1352,5.124260355029586,0.23340069284064666,0.8135103926096998,2
PALO ALTO CA / HIGH #3,8317,8.882436455452687,73875.224,1.860563704722222,2.190707252777778,1424,5.84058988764045,0.23518095467115546,0.7796080317422147,2
PALO ALTO CA / HIGH #4,13895,8.049540138323138,111848.360222,1.9471073724999999,2.3626713244444444,3110,4.467845659163987,0.22302986685858223,0.7797768981648074,0
PALO ALTO CA / MPL #1,1044,8.6230765545977,9002.491923,1.9899970730555556,3.3444689227777777,713,1.4642356241234222,0.25862068965517243,0.6369731800766284,1
PALO ALTO CA / MPL #2,1531,8.847008396472894,13544.769855,2.069158864722222,3.7526937730555554,953,1.6065057712486883,0.24167210973220118,0.5564990202482037,1
PALO ALTO CA / MPL #3,1420,8.425539265492958,11964.265757,2.0033628716666665,3.3178157275,890,1.595505617977528,0.2584507042253521,0.6267605633802817,1
PALO ALTO CA / MPL #4,7787,8.568403505200976,66722.158095,1.8940695675,2.368725653611111,2053,3.7929858743302485,0.304224990368563,0.7657634519070246,2
PALO ALTO CA / MPL #5,7544,8.687256068133616,65536.659778,1.8670302741666667,2.361208465833333,1995,3.781453634085213,0.29772004241781547,0.8160127253446448,2
PALO ALTO CA / MPL #6,8994,8.680762193351123,78074.775167,1.8689998269444443,2.4083869491666667,2106,4.27065527065527,0.29430731598843674,0.7917500555926174,2
PALO ALTO CA / RINCONADA LIB 1,6211,9.492754211560134,58959.496408,2.06594787,2.6774008477777778,1883,3.29845990440786,0.28336821767831266,0.7911769441313798,2
PALO ALTO CA / RINCONADA LIB 2,5551,9.494758410196361,52705.403935,2.067912838333333,2.659104115277778,1819,3.051676745464541,0.29057827418483156,0.8149882903981265,2
PALO ALTO CA / RINCONADA LIB 3,6499,9.229213567471918,59980.658975,1.9926610930555555,2.567955711111111,1915,3.393733681462141,0.26742575780889366,0.8072011078627481,2
PALO ALTO CA / TED THOMPSON #1,9814,9.28957505644997,91167.889604,2.222914826666667,2.7307731583333332,1692,5.800236406619385,0.2009374363154677,0.7939678011004687,0
PALO ALTO CA / TED THOMPSON #2,2217,11.194210193955795,24817.564,2.3854782486111112,2.6791562672222224,781,2.8386683738796417,0.15381145692377085,0.8416779431664412,3
PALO ALTO CA / TED THOMPSON #3,2455,9.82464602851324,24119.506,2.155561778611111,2.4172679338888887,856,2.8679906542056073,0.16619144602851324,0.8545824847250509,3
PALO ALTO CA / TED THOMPSON #4,2226,9.694354896675652,21579.634000000002,2.206766995833333,2.4761554105555557,811,2.744759556103576,0.1527403414195867,0.922282120395328,3
